순위,관광지명,상세주소,중분류 카테고리,소분류 카테고리
"1","익산역","전북 익산시 창인동2가 1","기타관광지","기차역"
"2","전주한옥마을","전북 전주시 완산구 남노송동 100-1","역사관광지","고택/생가/민속마을"
"3","선유도","전북 군산시 옥도면 선유도리","자연관광지","섬"
"4","채석강","전북 부안군 변산면 격포리 301-1","기타관광지","관광명소기타"
"5","롯데몰 군산점","전북 군산시 조촌동 450-21","쇼핑","쇼핑센터"
"6","은파호수공원","전북 군산시 나운동 1223-5","자연관광지","공원"
"7","선유도해수욕장","전북 군산시 옥도면 선유도리","자연관광지","해수욕장"
"8","전주고속버스터미널","전북 전주시 덕진구 금암동 767-2","기타관광지","버스터미널"
"9","변산해수욕장","전북 부안군 변산면 대항리 567","자연관광지","해수욕장"
"10","전주역","전북 전주시 덕진구 우아동3가 235","기타관광지","기차역"
"11","광한루원","전북 남원시 천거동 78","기타관광지","관광명소기타"
"12","구시포해수욕장","전북 고창군 상하면 자룡리","자연관광지","해수욕장"
"13","내소사","전북 부안군 진서면 석포리 268","역사관광지","절"
"14","전주시외버스공용터미널","전북 전주시 덕진구 금암동 705-10","기타관광지","버스터미널"
"15","선운사","전북 고창군 아산면 삼인리 500","역사관광지","절"
"16","무주덕유산리조트곤돌라","전북 무주군 설천면 심곡리 43-15","레포츠(육상/해상/항공)","레저/스포츠기타"
"17","한국도로공사 수목원","전북 전주시 덕진구 반월동 848-63","자연관광지","산림욕장"
"18","군산근대역사박물관","전북 군산시 장미동 1-67","문화시설","박물관/기념관"
"19","동호해수욕장","전북 고창군 해리면 동호리 627-15","자연관광지","해수욕장"
"20","대둔산케이블카","전북 완주군 운주면 산북리 23-30","기타관광지","관광명소기타"
"21","상하농원","전북 고창군 상하면 자룡리 1-2","기타관광지","농장/농원"
"22","정읍역","전북 정읍시 연지동 343-1","기타관광지","기차역"
"23","무주덕유산리조트","전북 무주군 설천면 심곡리 43-15","휴양관광지","종합위락시설"
"24","전주동물원","전북 전주시 덕진구 덕진동1가 73-48","휴양관광지","동식물원"
"25","남원역","전북 남원시 신정동 540-1","기타관광지","기차역"
"26","군산수산물종합센터","전북 군산시 해망동 1011-21","쇼핑","농수축산물시장"
"27","채계산출렁다리","전북 순창군 적성면 괴정리 1607","기타관광지","관광명소기타"
"28","마이산탑사","전북 진안군 마령면 동촌리 8","역사관광지","절"
"29","곰소항","전북 부안군 진서면 곰소리 843","자연관광지","항구"
"30","격포항수산시장","전북 부안군 변산면 격포리 788-30","쇼핑","농수축산물시장"
"31","클럽디금강","전북 익산시 웅포면 웅포리 172-9","레포츠(육상/해상/항공)","골프장"
"32","군산시외버스터미널","전북 군산시 경암동 614-2","기타관광지","버스터미널"
"33","격포해넘이해수욕장","전북 부안군 변산면 격포리","자연관광지","해수욕장"
"34","야미도선착장","전북 군산시 옥도면 야미도리 150","자연관광지","항구"
"35","미륵사지","전북 익산시 금마면 기양리 32-2","역사관광지","문화유적지"
"36","초원사진관","전북 군산시 신창동 1-5","기타관광지","촬영지"
"37","남부시장","전북 전주시 완산구 전동3가 2-242","쇼핑","재래시장"
"38","고사포해수욕장","전북 부안군 변산면 운산리 441-7","자연관광지","해수욕장"
"39","군산고속버스터미널","전북 군산시 경암동 612-7","기타관광지","버스터미널"
"40","장자도","전북 군산시 옥도면 장자도리","자연관광지","섬"
"41","아중호수","전북 전주시 덕진구 우아동1가 752","자연관광지","호수"
"42","써미트컨트리클럽","전북 진안군 부귀면 봉암리 80-1","레포츠(육상/해상/항공)","골프장"
"43","세병호","전북 전주시 덕진구 송천동2가 143","자연관광지","호수"
"44","전주시농수산물도매시장","전북 전주시 덕진구 송천동2가 506-1","쇼핑","농수축산물시장"
"45","전주덕진공원","전북 전주시 덕진구 덕진동1가 1314-4","자연관광지","공원"
"46","머루와인동굴","전북 무주군 적상면 북창리 119-5","기타관광지","관광명소기타"
"47","용담댐조각공원","전북 진안군 안천면 삼락리","자연관광지","공원"
"48","전주월드컵경기장","전북 전주시 덕진구 반월동 763-1","기타관광지","운동장/체육관_축구장"
"49","엠카운티스파힐스CC","전북 김제시 흥사동 87-1","레포츠(육상/해상/항공)","골프장"
"50","내장산골프앤리조트","전북 정읍시 신정동 1632","레포츠(육상/해상/항공)","골프장"
"51","골프존카운티선운","전북 고창군 아산면 용계리 27-1","레포츠(육상/해상/항공)","골프장"
"52","익산고속버스터미널","전북 익산시 평화동 247-6","기타관광지","버스터미널"
"53","석정온천휴스파","전북 고창군 고창읍 석정리 733","휴양관광지","온천"
"54","오스갤러리","전북 완주군 소양면 대흥리 409","문화시설","화랑/전시관"
"55","고창CC","전북 고창군 심원면 고전리 1916","레포츠(육상/해상/항공)","골프장"
"56","완산생활체육공원","전북 전주시 완산구 중인동 361-1","자연관광지","공원"
"57","격포항","전북 부안군 변산면 격포리 788-31","자연관광지","항구"
"58","운일암반일암","전북 진안군 주천면 대불리","자연관광지","폭포/계곡"
"59","드래곤레이크CC","전북 남원시 대산면 옥율리 142-1","레포츠(육상/해상/항공)","골프장"
"60","히로쓰가옥","전북 군산시 신흥동 58-2","역사관광지","문화유적지"
"61","태인CC","전북 정읍시 태인면 증산리 3","레포츠(육상/해상/항공)","골프장"
"62","금강하구둑","전북 군산시 성산면 성덕리 411-1","기타관광지","관광명소기타"
"63","CGV 전주고사","전북 전주시 완산구 고사동 355-1","공연/행사","극장"
"64","부안종합버스터미널","전북 부안군 부안읍 봉덕리 574-13","기타관광지","버스터미널"
"65","CGV 전주효자","전북 전주시 완산구 효자동1가 434","공연/행사","극장"
"66","익산교도소세트장","전북 익산시 성당면 와초리 154-4","기타관광지","촬영지"
"67","전주샹그릴라CC","전북 임실군 신덕면 지장리 7","레포츠(육상/해상/항공)","골프장"
"68","석정힐CC","전북 고창군 고창읍 석정리 814-2","레포츠(육상/해상/항공)","골프장"
"69","군산공항","전북 군산시 옥서면 선연리 385","기타관광지","공항"
"70","금산사","전북 김제시 금산면 금산리 39","역사관광지","절"
"71","서동공원","전북 익산시 금마면 동고도리 534-3","자연관광지","공원"
"72","반디랜드","전북 무주군 설천면 청량리 1100","자연관광지","공원"
"73","강천사","전북 순창군 팔덕면 청계리 996","역사관광지","절"
"74","더나인골프클럽","전북 김제시 금구면 대화리 44-1","레포츠(육상/해상/항공)","골프장"
"75","태권도원","전북 무주군 설천면 청량리 1453","기타관광지","관광명소기타"
"76","상관편백숲","전북 완주군 상관면 죽림리 172","자연관광지","산림욕장"
"77","마이산","전북 진안군 마령면 동촌리 8","자연관광지","명산"
"78","골프존카운티 무주","전북 무주군 안성면 공진리 53-1","레포츠(육상/해상/항공)","골프장"
"79","고창읍성","전북 고창군 고창읍 읍내리 9","역사관광지","성"
"80","익산보석박물관","전북 익산시 왕궁면 동용리 575-1","문화시설","박물관/기념관"
"81","롯데시네마 익산모현","전북 익산시 모현동1가 876","공연/행사","극장"
"82","장수골프리조트","전북 장수군 계남면 궁양리 955","레포츠(육상/해상/항공)","골프장"
"83","벽골제","전북 김제시 부량면 신용리 119-1","기타관광지","관광단지"
"84","강천산군립공원","전북 순창군 팔덕면 청계리","자연관광지","국/도립공원"
"85","부안상설시장","전북 부안군 부안읍 서외리 21","쇼핑","재래시장"
"86","송광사","전북 완주군 소양면 대흥리 569-2","역사관광지","절"
"87","대아수목원","전북 완주군 동상면 대아리 1-2","휴양관광지","동식물원"
"88","군산낚시프라자","전북 군산시 오식도동 999","레포츠(육상/해상/항공)","낚시"
"89","고창공영버스터미널","전북 고창군 고창읍 읍내리 629","기타관광지","버스터미널"
"90","달빛소리수목원","전북 익산시 춘포면 천서리 408-1","휴양관광지","동식물원"
"91","곰소염전","전북 부안군 진서면 곰소리 1","기타관광지","염전"
"92","CGV 서전주","전북 전주시 완산구 효자동3가 1531-2","공연/행사","극장"
"93","다이소 전주신시가지점","전북 전주시 완산구 효자동3가 1627-6","쇼핑","쇼핑기타"
"94","모다아울렛 전주김제점","전북 김제시 용지면 부교리 57-22","쇼핑","쇼핑센터"
"95","순창고추장민속마을","전북 순창군 순창읍 백산리 265-58","역사관광지","고택/생가/민속마을"
"96","아네스빌CC","전북 김제시 황산면 봉월리 10-14","레포츠(육상/해상/항공)","골프장"
"97","옥정호","전북 임실군 운암면 운종리","자연관광지","호수"
"98","신태인역","전북 정읍시 신태인읍 신태인리 132-180","기타관광지","기차역"
"99","동국사","전북 군산시 금광동 135-1","역사관광지","절"
"100","모항갯벌해수욕장","전북 부안군 변산면 도청리 203-1","자연관광지","해수욕장"
